station_complex_id,station_complex_name,avg_annual_ridership,log_avg_ridership,is_ibx,subway_trips_per_hour_am_peak,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,log_min_line_anchor_travel_time,travel_time_missing_flag,poverty_latest,poverty_slope,pop_latest,pop_slope,poverty_imputed_flag,poverty_missing_flag,population_missing_flag,poverty_imputed_nearest_flag,poverty_imputed_line_flag,borough_Brooklyn,borough_Manhattan,borough_Queens,borough_Staten Island,poverty_source_nearest_gtfs,poverty_source_observed,travel_time_source_nearest_station_complex_id,travel_time_source_observed_gtfs,log_bus_routes_access_network,pct_hh_no_vehicle_access_network,pct_car_truck_van_access_network,log_citibike_0p5mi,subway_lines_serving_station,cluster
198,Howard Beach-JFK Airport (A),2313.723694,7.747045605,0,22.33,0.39999984,6.873163834,8.955448122,1.027692004,0,1.247178204,52,52,1,3.970291914,0,10.2,-0.027622378,439.8960749,-8.444441801,0,0,0,0,0,0,0,1,0,0,1,0,1,2.302585093,70.47638686,63.9340715,0,0,1
626,"Franklin Av-Medgar Evers College/Botanic Garden (2,3,4,5,S)",10738.78078,9.281709956,0,36,0.999999,7.454141078,10.98987543,1.922099661,3.044522438,1.729658851,0,0,4,0,0,15.28255975,-0.632404757,6972.566136,149.7715188,0,0,0,0,0,1,0,0,0,0,1,0,1,2.63905733,11.84867483,10.08488229,3.135494216,4,4
278,"Jamaica Center-Parsons/Archer (E,J,Z)",21249.52044,9.964136665,0,76,0.999999,8.611593867,10.50421786,2.292630342,3.091042453,2.059974748,34.75,46,3,3.576550269,0,15.28737261,-0.754501448,1743.896844,58.1529638,0,0,0,0,0,0,0,1,0,0,1,0,1,3.761200116,35.2612681,30.8207977,0,0,0
299,Dyckman St (1),4658.865445,8.446741852,0,46.67,0.666666222,7.640603826,11.30603659,1.963544909,2.890371758,2.466593461,30.5,30.5,1,3.449987546,0,22.8891354,-0.326095662,7985.308,58.40137382,0,0,0,0,0,0,1,0,0,0,1,0,1,2.772588722,11.36598968,8.185570975,3.044522438,0,0
636,"Jay St-MetroTech (A,C,F,R)",27337.58841,10.21605448,0,38,0.666666222,9.643290937,10.9724307,2.026646565,3.828641396,2.56179516,18,21.5,5,2.944438979,0,12.19576702,0.319386831,3583.028804,324.0520769,0,0,0,0,0,1,0,0,0,0,1,0,1,2.833213344,6.145362731,5.254310402,3.33220451,3,4
251,Avenue U (F),1398.070392,7.243563289,0,34.33,0.666666222,7.933079772,10.5699827,1.343008249,1.791759469,2.135333508,48.5,48.5,1,3.90197267,0,15.23351667,-0.179375443,2314.287684,59.22865811,0,0,0,0,0,1,0,0,0,0,1,0,1,2.079441542,33.97149029,25.06961763,0,4,4
458,46 St-Bliss St (7),9244.58545,9.131901468,0,88.67,1.333331556,8.715388097,10.95380206,2.048142069,1.945910149,1.96468606,17.5,17.5,2,2.917770732,0,16.19747409,0.104991731,4914.081198,41.81503403,0,0,0,0,0,0,0,1,0,0,1,0,1,2.63905733,19.85088751,16.55284935,3.218875825,0,0
436,Harlem-148 St (3),2240.882862,7.715071355,0,34,0.49999975,6.161207322,11.13019984,2.174889835,2.708050201,1.886592431,21.5,21.5,1,3.113515309,0,19.24683864,-0.422377419,8132.871633,106.3467337,0,0,0,0,0,0,1,0,0,0,1,0,1,2.564949357,9.608259113,8.203873945,3.135494216,0,0
207,Beach 36 St (A),562.601657,6.33434772,0,20.67,0.39999984,8.050065423,9.756899868,1.766531722,0,1.992671718,70,70,1,4.262679877,0,41.26011687,1.44159116,818.295349,12.21848714,0,0,0,0,0,0,0,1,0,0,1,0,1,1.791759469,48.06222602,43.51165768,0,2,1
459,40 St-Lowery St (7),7224.420295,8.885360684,0,88.67,0.999999,8.931816237,10.67190453,2.011501716,2.079441542,1.916283426,16.5,16.5,2,2.862200881,0,9.825422383,-0.74332671,5527.02193,-15.57974514,0,0,0,0,0,0,0,1,0,0,1,0,1,2.397895273,19.06463159,15.90146241,3.295836866,0,0
196,Aqueduct Racetrack (A),520.4632317,6.256638767,0,12.67,0.181818149,7.43543802,9.458293602,1.251017801,0,1.240794,49,49,1,3.912023005,0,6.605292703,0.248820429,881.6574623,-3.875422255,0,0,0,0,0,0,0,1,0,0,1,0,1,2.564949357,50.44227983,43.63323521,0,0,1
137,East 105 St (L),2036.415336,7.619437291,0,60.67,0.999999,8.266935348,9.991223667,2.038465956,0.693147181,1.450979015,34,34,1,3.555348061,0,28.73760413,0.415741547,680.4388333,-1.345551314,0,0,0,0,0,1,0,0,0,0,1,0,1,2.397895273,36.26407711,30.39677295,0,3,4
79,86 St (N),1794.305697,7.492930591,0,34,0.49999975,7.612336837,10.48408175,1.932734654,1.609437912,2.158985865,50,56.25,2,3.931825633,0,23.66393729,-0.206322688,2643.859864,0.189970575,0,0,0,0,0,1,0,0,0,0,1,0,1,2.48490665,31.02929476,24.35698086,0,0,1
431,"Intervale Av (2,5)",1852.235426,7.524688269,0,65.67,0.999999,8.217168596,11.06157871,2.02871156,2.302585093,2.542232219,30,30,1,3.433987204,0,36.7,0.312237762,5996.271524,107.9481897,1,0,0,0,1,0,0,0,0,0,0,0,1,2.772588722,20.27855964,16.83791203,3.091042453,0,0
629,"Metropolitan Av/Lorimer St (G,L)",11482.82747,9.348695017,0,68.33,0.999999,8.843182098,10.93604907,1.921859819,2.63905733,2.346314204,8.25,8.62,2,2.224623552,0,13.83530506,0.092310621,4181.146426,135.1669759,0,0,0,0,0,1,0,0,0,0,1,0,1,2.63905733,9.323773302,7.707289522,3.17805383,4,4
241,"15 St-Prospect Park (F,G)",4473.498972,8.406149663,0,77,0.999999,8.236950048,10.46378882,1.23407864,2.397895273,2.23292979,30,30.75,2,3.433987204,0,12.62139243,-0.614474664,3592.463889,54.85578405,0,0,0,0,0,1,0,0,0,0,1,0,1,2.197224577,12.1899677,9.850714928,2.63905733,2,4
222,Roosevelt Island (M),5416.318699,8.597356267,0,33.33,0.666666222,8.07121854,10.51322595,1.877783375,2.833213344,1.054424982,10.5,10.5,1,2.442347035,0,15.35352746,0.892132191,3157.111127,384.3158861,0,0,0,0,0,0,1,0,0,0,1,0,1,1.386294361,8.745992162,5.468471678,2.397895273,2,4
345,"Crown Hts-Utica Av (3,4)",16975.37996,9.739578243,0,83,0.999999,8.356554845,11.12300393,1.783960074,1.386294361,2.147955365,32.75,34.5,4,3.518980417,0,28.37514221,1.718399643,5936.084208,82.92860761,0,0,0,0,0,1,0,0,0,0,1,0,1,2.772588722,18.5964357,15.46263881,3.218875825,0,0
211,"Bedford Park Blvd (B,D)",4265.993529,8.358664767,0,46.67,0.666666222,8.032360148,11.14921152,1.983608156,2.48490665,2.194134463,34,37.75,2,3.555348061,0,36.32551531,0.284166676,7263.962537,163.6902981,1,0,0,1,0,0,0,0,0,1,0,0,1,2.995732274,17.22753817,14.91705859,3.36729583,2,4
294,238 St (1),3132.381531,8.049868062,0,46.33,0.79999936,8.617038526,10.57732448,2.03586765,1.609437912,1.914675976,37.5,37.5,1,3.650658241,0,36.32551531,0.284166676,2229.514895,17.71182914,1,0,0,1,0,0,0,0,0,1,0,0,1,2.48490665,35.97167804,30.18277695,2.944438979,0,0
444,Gun Hill Rd (5),3085.45156,8.034777348,0,32.67,0.49999975,8.485908901,10.38767142,1.37758833,0.693147181,1.579336475,43.25,43.25,1,3.789855371,0,46.1,-0.51958042,1545.181834,-17.80017469,1,0,0,0,1,0,0,0,0,0,0,0,1,2.63905733,47.56788649,41.66794967,0,0,1
187,Shepherd Av (C),1829.998065,7.512616488,0,29.67,0.666666222,7.560601163,10.76563884,1.703647598,1.098612289,1.700855218,45,45,1,3.828641396,0,19.39587225,-1.796642505,3781.550149,43.7786416,0,0,0,0,0,1,0,0,0,0,1,0,1,2.564949357,26.67279784,22.55034125,0,0,1
627,"Franklin Av (C,S)",3908.192368,8.271086076,0,36,0.15384613,7.754481547,10.92251536,1.841583443,2.833213344,2.037466607,29,29,1,3.401197382,0,14.28143977,-0.420260474,3706.65952,57.1322699,0,0,0,0,0,1,0,0,0,0,1,0,1,2.708050201,10.8251304,9.141350409,3.091042453,3,4
421,"Gun Hill Rd (2,5)",4025.566219,8.300669237,0,41.67,0.666666222,8.370547611,10.65925736,1.884976077,1.098612289,1.83305768,47.75,49.12,2,3.886705197,0,36.7,0.312237762,4425.063325,-38.26092507,1,0,0,0,1,0,0,0,0,0,0,0,1,2.772588722,32.01864887,26.76226496,1.098612289,0,1
190,80 St (A),3027.787615,8.015917691,0,43.67,0.666666222,7.125283092,10.59056636,1.48990351,0.693147181,1.708289359,42.5,42.5,1,3.772760938,0,21.46173794,-0.366792586,3288.258245,-16.66107198,0,0,0,0,0,0,0,1,0,0,1,0,1,2.772588722,33.16275818,27.40718965,0,0,1
290,Classon Av (G),4016.483007,8.298410868,0,36,0.666666222,8.49023301,11.01754659,1.912732595,2.890371758,2.506213118,15,15,1,2.772588722,0,22.92581923,-0.419890781,5781.510274,30.06663973,0,0,0,0,0,1,0,0,0,0,1,0,1,2.890371758,12.88518177,10.88998489,3.091042453,0,0
210,Norwood-205 St (D),4387.130685,8.386658603,0,34.33,0.49999975,8.749890956,11.01794038,1.802075942,2.302585093,2.301566104,39.5,39.5,1,3.701301974,0,36.32551531,0.284166676,5395.769297,-197.1569556,1,0,0,0,1,0,0,0,0,0,0,0,1,2.944438979,19.63724449,16.23382236,3.091042453,2,4
191,88 St (A),1987.171807,7.594970805,0,44,0.666666222,7.720905252,10.40477786,1.274282239,0,1.738843926,44.5,44.5,1,3.817712326,0,12.92598095,-0.983557882,2473.223738,-24.02617481,0,0,0,0,0,0,0,1,0,0,1,0,1,2.772588722,34.48002571,28.5676373,0,0,1
